station,lat,lon,dep_count,arr_count,activity_type
Hetzendorf S,48.167527,16.316119,14.0,19.0,more_arrivals
Heumühlgasse,48.195304,16.363308,200.0,197.0,more_departures
Hietzing U,48.187845,16.302445,48.0,55.0,more_arrivals
Hirschstetten S,48.232992,16.470367,20.0,16.0,more_departures
Hoher Markt,48.210666,16.372983,158.0,132.0,more_departures
Hopfengasse,48.269651,16.392036,1.0,2.0,more_arrivals
Hütteldorf  S U,48.198076,16.261813,20.0,18.0,more_departures
Jedlesee / Bellgasse,48.262127,16.387658,37.0,39.0,more_arrivals
Jedleseer Friedhof,48.270076,16.384403,24.0,20.0,more_departures
Joachimsthaler Platz,48.208885,16.303775,6.0,1.0,more_departures
Johann-Nepomuk-Vogl-Platz,48.223756,16.337543,40.0,40.0,equal
Johannesgasse / Stadtpark,48.203384,16.376708,179.0,182.0,more_arrivals
Johnstrasse U,48.19834,16.318975,103.0,89.0,more_departures
Josef-Baumann-Gasse,48.25227,16.430805,26.0,32.0,more_arrivals
Josefstädter Straße U,48.212106,16.33912,155.0,156.0,more_arrivals
Julius-Raab-Platz,48.211544,16.382374,214.0,198.0,more_departures
Jägerstraße U,48.235062,16.369919,106.0,107.0,more_arrivals
Kagran U,48.243746,16.433508,107.0,87.0,more_departures
Kagraner Anger,48.239166,16.448733,26.0,22.0,more_departures
Kagraner Platz U,48.251071,16.443794,106.0,104.0,more_departures
Kantnergasse,48.277738,16.410474,2.0,14.0,more_arrivals
Kardinal-Nagl-Platz U,48.197069,16.400874,214.0,207.0,more_departures
Karlsplatz U / TU Wien,48.199877,16.368227,354.0,360.0,more_arrivals
Karmeliterplatz,48.215683,16.379649,112.0,121.0,more_arrivals
Kendlerstraße U,48.205571,16.30959,75.0,59.0,more_departures
Keplerplatz U,48.179192,16.375793,95.0,110.0,more_arrivals
Krieau U,48.214384,16.414663,97.0,65.0,more_departures
Kundratstraße,48.176146,16.355224,27.0,25.0,more_departures
Kutschkergasse,48.225707,16.344196,36.0,28.0,more_departures
Kärntner Ring,48.202161,16.3713,113.0,103.0,more_departures
Landstraße - Wien Mitte S U,48.205847,16.385246,271.0,283.0,more_arrivals
Laudongasse / Schönbornpark,48.21339,16.350695,41.0,43.0,more_arrivals
Lazarettgasse,48.219312,16.352461,90.0,84.0,more_departures
Leopoldau S U,48.276824,16.45017,16.0,8.0,more_departures
Leopoldauer Platz,48.263377,16.440686,18.0,18.0,equal
Liesing S,48.134253,16.283428,10.0,6.0,more_departures
Loquaiplatz,48.194597,16.349121,65.0,62.0,more_departures
Längenfeldgasse U,48.18424,16.333886,68.0,88.0,more_arrivals
Löwengasse,48.2057,16.395998,164.0,147.0,more_departures
Margaretengürtel U,48.188489,16.343992,127.0,128.0,more_arrivals
Maria-Tusch-Straße,48.224719,16.498557,30.0,48.0,more_arrivals
Markgraf-Rüdiger Straße,48.202473,16.329897,115.0,119.0,more_arrivals
Marschallplatz,48.165635,16.303146,5.0,15.0,more_arrivals
Mayerhofgasse,48.192488,16.367014,75.0,74.0,more_departures
Media Quarter Marx,48.188763,16.404503,172.0,181.0,more_arrivals
Meidling S U / Schedifkaplatz,48.172862,16.332105,35.0,41.0,more_arrivals
Messe-Prater U,48.217295,16.406163,208.0,203.0,more_departures
Michelbeuern-AKH U,48.221804,16.343735,84.0,85.0,more_arrivals
Mittersteig,48.189735,16.361331,122.0,131.0,more_arrivals
Modecenterstraße / The Marks,48.184348,16.413837,104.0,91.0,more_departures
Museumsquartier U,48.202344,16.361117,362.0,382.0,more_arrivals
Muthgasse,48.252055,16.369822,24.0,16.0,more_departures
Neilreichgasse,48.176253,16.366421,24.0,25.0,more_arrivals
Neu Leopoldau,48.273397,16.426352,28.0,12.0,more_departures
Neubaugasse U,48.198527,16.35093,309.0,315.0,more_arrivals
