place_name,lat,long
Vorgartenstraße U,48.223192,16.399795
Krieau U,48.214384,16.414663
Ottakring S U,48.211841,16.311806
Hartmanngasse ,48.187123,16.363965
Messe-Prater U,48.217295,16.406163
Loquaiplatz,48.194597,16.349121
Rosensteingasse,48.21955,16.326586
Gumpendorfer Gürtel,48.18934,16.338321
Burggasse-Stadthalle U,48.203657,16.337419
Urban-Loritz-Platz,48.201034,16.337727
Hanusch Krankenhaus,48.19853,16.29393
Westbahnhof S U / Gerstnerstraße,48.195315,16.337344
Wieningerplatz,48.194063,16.31846
Markgraf-Rüdiger Straße,48.202473,16.329897
Plunkergasse,48.199892,16.327151
Selzergasse,48.196802,16.323095
Westbahnhof S U / Felberstraße,48.197958,16.3377
Kundratstraße,48.176146,16.355224
Arthaberplatz,48.173447,16.371831
Karmeliterplatz,48.215683,16.379649
Fröbelgasse,48.205827,16.330869
Reumannplatz U,48.172937,16.378663
Brestelgasse,48.214001,16.330753
Thaliastraße U,48.207995,16.337984
Nussdorfer Straße U,48.231717,16.353124
Elterleinplatz,48.217936,16.332271
Canisiusgasse,48.229011,16.354359
Meidling S U / Schedifkaplatz,48.172862,16.332105
Palffygasse,48.217217,16.337131
Gersthof S,48.231029,16.329505
Reinprechtsdorfer Brücke,48.189633,16.351143
Siebensternplatz,48.202223,16.352486
Siebenbrunnenplatz,48.184975,16.352986
Rosensteingasse / Blumengasse,48.222824,16.328474
Schottenring U /Herminengasse,48.217784,16.373083
Josefstädter Straße U,48.212106,16.33912
Friedrich-Engels-Platz,48.244111,16.379304
Dresdner Straße U,48.237487,16.380363
Jägerstraße U,48.235062,16.369919
Traisengasse S,48.233821,16.383263
Kettenbrückengasse U ,48.196328,16.357468
Aumannplatz,48.228561,16.335125
Längenfeldgasse U,48.18424,16.333886
Althanstraße,48.228936,16.3596
Schottentor U,48.214558,16.361492
Neubaugasse U,48.198527,16.35093
Museumsquartier U,48.202344,16.361117
Johnstrasse U,48.19834,16.318975
Kutschkergasse,48.225707,16.344196
Stadion U,48.210893,16.420795
Brückengasse,48.19126,16.347918
Schuhmeierplatz,48.21069,16.318802
Schönbrunn U,48.185845,16.319898
Hermesstraße / Oscar-Straus-Park ,48.167976,16.282246
Modecenterstraße / The Marks,48.184348,16.413837
Am Langen Felde,48.250336,16.450206
eLastenräder- Modecenterstraße / The Marks,48.184929,16.413964
Pilgramgasse U,48.192945,16.354936
eLastenräder - Am langen Felde,48.250224,16.45065
eLastenräder - Bruno-Marek-Allee 6,48.227914,16.391516
eLastenräder - Am Tabor 23,48.224598,16.39209
Purkytgasse ,48.15011,16.33364
Neue Donau U,48.246414,16.395676
Franz-Josef Bahnhof S,48.225991,16.360327
Niederpointenstraße,48.20326,16.275366
Leopoldauer Platz,48.263377,16.440686
ArbeiterInnenstrand,48.242946,16.414669
Gewerbepark Stadlau,48.245575,16.462515
Atzgersdorf Bildungscampus,48.153174,16.301623
Adelheid-Popp-Gasse,48.230723,16.46149
Alte Donau U,48.237534,16.423788
VHS Kulturgarage,48.231445,16.51109
Siebenbrunnenfeldgasse,48.18142,16.352644
Technisches Museum,48.190316,16.317929
Währinger Park,48.232184,16.346819
Wendstattgasse,48.14679,16.391242
Neilreichgasse,48.176253,16.366421
Gutheil-Schoder-Gasse / Badner Bahn,48.158662,16.334796
Neu Leopoldau,48.273397,16.426352
Strebersdorf S,48.286421,16.381676
Nussbaumallee / Campus Wiener Netze,48.181554,16.42316
Raxstraße,48.163234,16.366437
Wattmanngasse,48.171677,16.291818
Joachimsthaler Platz,48.208885,16.303775
Floridsdorfer Markt,48.263052,16.399257
Nussdorf S,48.259495,16.367553
Bertha-von-Suttner-Gasse,48.251355,16.45281
Hauptbahnhof Ost,48.183836,16.379774
FH Technikum (CAMPUSbike),48.239709,16.377944
Hafen Wien,48.183217,16.458423
Seestadt U / Lina Bo-Bardi-Platz,48.227143,16.508852
Barbara-Prammer-Allee,48.229561,16.510147
Sonnenallee,48.224888,16.502422
AIT Austrian Institute of Technology / Giefinggasse ,48.268033,16.426886
Blériotgasse,48.171395,16.42565
Vetmed Haupteingang (CAMPUSbike),48.25442,16.431427
Vetmed UB (CAMPUSbike),48.253112,16.430644
BIKE 347065,48.145409,16.385937
BIKE 348355,48.190284,16.33209
BIKE 345155,48.146204,16.383823
BIKE 347561,48.218858,16.327543
BIKE 346946,48.199413,16.325502
BIKE 346143,48.145329,16.386006
BIKE 348277,48.197036,16.311949
BIKE 348492,48.265876,16.393791
BIKE 345851,48.196987,16.311981
BIKE 345957,48.166742,16.257056
BIKE 346869,48.202284,16.37319
BIKE 348023,48.172004,16.298687
BIKE 345527,48.187996,16.304603
BIKE 345907,48.211556,16.47859
BIKE 346325,48.206453,16.383126
BIKE 346194,48.166684,16.327503
BIKE 346427,48.787022,16.074608
BIKE 347125,48.172209,16.298678
BIKE 346795,48.244498,16.433544
BIKE 347810,48.183787,16.327217
BIKE 348221,48.238484,16.402707
BIKE 348279,48.199684,16.328627
BIKE 345075,48.188218,16.373907
BIKE 348113,48.14628,16.38397
BIKE 348150,48.20856,16.384513
BIKE 346474,48.194662,16.269353
BIKE 348441,48.204884,16.352778
BIKE 348205,48.146249,16.383887
BIKE 347592,48.237387,16.337809
BIKE 346819,48.144956,16.387852
BIKE 346719,48.144933,16.387829
BIKE 347619,48.169938,16.343821
BIKE 347270,48.209187,16.36657
BIKE 346097,48.154031,16.305843
BIKE 348386,48.189062,16.399987
BIKE 347585,48.182071,16.29096
BIKE 345189,48.225218,16.342031
BIKE 347577,48.187329,16.359914
BIKE 345941,48.169787,16.343904
BIKE 346895,48.225551,16.340284
BIKE 348135,48.187338,16.403322
BIKE 346241,48.248716,16.448689
BIKE 348085,48.20408,16.328291
BIKE 346689,48.202858,16.398113
BIKE 347107,48.214787,16.38534
BIKE 348463,48.173347,16.344224
