station,lat,lon,dep_morning,dep_midday,dep_evening,dep_night,arr_morning,arr_midday,arr_evening,arr_night,status_morning,status_midday,status_evening,status_night
Rossauer Lände U,48.222729,16.367425,13.0,41.0,24.0,23.0,6.0,24.0,47.0,28.0,more_departures,more_departures,more_arrivals,more_arrivals
Rustengasse,48.190832,16.326461,11.0,10.0,18.0,9.0,2.0,11.0,14.0,26.0,more_departures,more_arrivals,more_departures,more_arrivals
Sankt-Elisabeth-Platz,48.190903,16.375826,31.0,50.0,37.0,10.0,14.0,43.0,44.0,23.0,more_departures,more_departures,more_arrivals,more_arrivals
Schloss Schönbrunn,48.187201,16.312659,4.0,69.0,51.0,23.0,19.0,90.0,19.0,11.0,more_arrivals,more_arrivals,more_departures,more_departures
Schmelzbrücke,48.19623,16.330241,1.0,17.0,11.0,10.0,2.0,10.0,12.0,28.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Schottenring U,48.215972,16.372194,7.0,31.0,34.0,33.0,14.0,37.0,41.0,40.0,more_arrivals,more_arrivals,more_arrivals,more_arrivals
Schottenring U /Herminengasse,48.217784,16.373083,10.0,28.0,19.0,14.0,4.0,17.0,29.0,21.0,more_departures,more_departures,more_arrivals,more_arrivals
Schottentor U,48.214558,16.361492,31.0,66.0,133.0,106.0,82.0,82.0,96.0,64.0,more_arrivals,more_arrivals,more_departures,more_departures
Schuhmeierplatz,48.21069,16.318802,18.0,21.0,12.0,13.0,1.0,7.0,19.0,25.0,more_departures,more_departures,more_arrivals,more_arrivals
Schwarzenbergplatz,48.198852,16.376962,26.0,40.0,64.0,38.0,43.0,40.0,67.0,15.0,more_arrivals,equal,more_arrivals,more_departures
Schwedenplatz,48.211721,16.376628,25.0,70.0,102.0,79.0,52.0,68.0,81.0,82.0,more_arrivals,more_departures,more_departures,more_arrivals
Schönbrunn U,48.185845,16.319898,13.0,35.0,15.0,12.0,11.0,35.0,30.0,14.0,more_departures,equal,more_arrivals,more_arrivals
Schüttauplatz,48.225856,16.423761,31.0,21.0,34.0,28.0,4.0,17.0,47.0,45.0,more_departures,more_departures,more_arrivals,more_arrivals
Seepark,48.226593,16.504396,2.0,1.0,5.0,1.0,1.0,0.0,4.0,4.0,more_departures,more_departures,more_departures,more_arrivals
Seestadt U,48.224865,16.507619,3.0,16.0,11.0,15.0,5.0,6.0,6.0,8.0,more_arrivals,more_departures,more_departures,more_departures
Seestadt U - Lina-Bo-Bardi-Platz,48.227143,16.508852,6.0,5.0,20.0,10.0,10.0,9.0,12.0,11.0,more_arrivals,more_arrivals,more_departures,more_arrivals
Selzergasse,48.196802,16.323095,8.0,15.0,21.0,15.0,3.0,23.0,10.0,24.0,more_departures,more_arrivals,more_departures,more_arrivals
Sensengasse,48.220335,16.35638,10.0,22.0,30.0,9.0,16.0,18.0,29.0,10.0,more_arrivals,more_departures,more_departures,more_arrivals
Siebenbrunnenfeldgasse,48.18142,16.352644,11.0,9.0,7.0,10.0,0.0,7.0,10.0,19.0,more_departures,more_departures,more_arrivals,more_arrivals
Siebenbrunnenplatz,48.184975,16.352986,37.0,41.0,36.0,23.0,11.0,34.0,55.0,55.0,more_departures,more_departures,more_arrivals,more_arrivals
Siebenhirten U,48.129845,16.310018,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,equal,more_departures,more_departures,more_departures
Siebensternplatz,48.202223,16.352486,16.0,35.0,37.0,39.0,9.0,39.0,49.0,27.0,more_departures,more_arrivals,more_arrivals,more_departures
Siemensstraße S,48.27113,16.42081,0.0,2.0,5.0,4.0,2.0,4.0,9.0,3.0,more_arrivals,more_arrivals,more_arrivals,more_departures
Simmering S U,48.169601,16.420754,0.0,4.0,6.0,27.0,1.0,3.0,18.0,11.0,more_arrivals,more_departures,more_arrivals,more_departures
Simoningplatz,48.179097,16.420704,2.0,14.0,9.0,4.0,1.0,2.0,4.0,18.0,more_departures,more_departures,more_departures,more_arrivals
Sonnenallee,48.224888,16.502422,8.0,7.0,7.0,0.0,5.0,4.0,10.0,10.0,more_departures,more_departures,more_arrivals,more_arrivals
Speising S,48.17377,16.282425,3.0,3.0,4.0,1.0,2.0,3.0,5.0,3.0,more_departures,equal,more_arrivals,more_arrivals
Spittelau S U,48.235289,16.35875,14.0,33.0,46.0,54.0,18.0,33.0,62.0,34.0,more_arrivals,equal,more_arrivals,more_departures
Stadion U,48.210893,16.420795,17.0,22.0,63.0,26.0,13.0,30.0,60.0,17.0,more_departures,more_arrivals,more_departures,more_departures
Stadlau U,48.21978,16.44922,7.0,13.0,28.0,18.0,9.0,4.0,17.0,9.0,more_arrivals,more_departures,more_departures,more_departures
Stavangergasse,48.213317,16.474986,1.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,more_departures,equal,more_arrivals,more_arrivals
Stefan-Fadinger-Platz,48.168439,16.354862,5.0,9.0,15.0,5.0,0.0,9.0,7.0,5.0,more_departures,equal,more_departures,equal
Stephansplatz U,48.207836,16.372111,5.0,28.0,40.0,72.0,21.0,37.0,53.0,31.0,more_arrivals,more_arrivals,more_arrivals,more_departures
Strebersdorf / Edmund-Hawranek-Platz,48.291474,16.386194,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,equal,more_arrivals,more_arrivals,more_arrivals
Strebersdorf S,48.286421,16.381676,0.0,0.0,1.0,9.0,1.0,0.0,0.0,2.0,more_arrivals,equal,more_departures,more_departures
Strozzigasse,48.207744,16.349122,75.0,63.0,75.0,68.0,66.0,43.0,110.0,57.0,more_departures,more_departures,more_arrivals,more_departures
Stubentor U,48.206812,16.380441,50.0,66.0,101.0,57.0,80.0,103.0,92.0,33.0,more_arrivals,more_arrivals,more_departures,more_departures
Svetelskystraße,48.15403,16.46573,12.0,8.0,5.0,2.0,1.0,0.0,11.0,8.0,more_departures,more_departures,more_arrivals,more_arrivals
Taborstraße U,48.219522,16.382218,37.0,20.0,38.0,25.0,12.0,24.0,56.0,53.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Technisches Museum,48.190316,16.317929,0.0,8.0,8.0,5.0,4.0,12.0,9.0,3.0,more_arrivals,more_arrivals,more_arrivals,more_departures
Thaliastraße U,48.207995,16.337984,11.0,25.0,25.0,37.0,11.0,28.0,22.0,42.0,equal,more_arrivals,more_departures,more_arrivals
Traisengasse S,48.233821,16.383263,14.0,30.0,20.0,18.0,6.0,17.0,15.0,26.0,more_departures,more_departures,more_departures,more_arrivals
Universitätsring,48.21192,16.360781,7.0,36.0,60.0,40.0,29.0,58.0,43.0,16.0,more_arrivals,more_arrivals,more_departures,more_departures
Urban-Loritz-Platz,48.201034,16.337727,22.0,34.0,35.0,30.0,5.0,42.0,44.0,26.0,more_departures,more_arrivals,more_arrivals,more_departures
VHS Kulturgarage,48.231445,16.51109,3.0,4.0,3.0,1.0,2.0,3.0,1.0,9.0,more_departures,more_departures,more_departures,more_arrivals
VIC Kaisermühlen U,48.232362,16.415692,22.0,46.0,93.0,46.0,61.0,35.0,69.0,38.0,more_arrivals,more_departures,more_departures,more_departures
Vetmed Haupteingang,48.25442,16.431427,2.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,more_departures,more_departures,more_departures,more_departures
Vetmed UB,48.253112,16.430644,2.0,0.0,7.0,1.0,9.0,1.0,11.0,0.0,more_arrivals,more_arrivals,more_arrivals,more_departures
Volksgarten,48.206516,16.3604,18.0,34.0,56.0,59.0,29.0,54.0,56.0,42.0,more_arrivals,more_arrivals,equal,more_departures
Volkstheater U,48.205994,16.356442,10.0,30.0,29.0,39.0,19.0,27.0,44.0,17.0,more_arrivals,more_departures,more_arrivals,more_departures
Vorgartenstraße U,48.223192,16.399795,22.0,63.0,87.0,54.0,25.0,41.0,84.0,50.0,more_arrivals,more_departures,more_departures,more_departures
WU-Campus / Südportalstraße ,48.212856,16.407665,11.0,88.0,207.0,49.0,147.0,119.0,78.0,35.0,more_arrivals,more_arrivals,more_departures,more_departures
Waldmüllerpark,48.18136,16.367618,7.0,5.0,8.0,3.0,2.0,2.0,17.0,5.0,more_departures,more_departures,more_arrivals,more_arrivals
Wallensteinplatz,48.229911,16.371579,52.0,41.0,52.0,34.0,8.0,29.0,62.0,81.0,more_departures,more_departures,more_arrivals,more_arrivals
Wassergasse,48.199234,16.394335,20.0,30.0,21.0,13.0,18.0,30.0,29.0,16.0,more_departures,equal,more_arrivals,more_arrivals
Wattgasse,48.217837,16.319961,21.0,23.0,8.0,8.0,0.0,5.0,5.0,46.0,more_departures,more_departures,more_departures,more_arrivals
Wattmanngasse,48.171677,16.291818,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,more_arrivals,more_arrivals,more_departures,equal
Weißenböckstraße,48.162067,16.42849,2.0,3.0,3.0,4.0,1.0,4.0,1.0,7.0,more_departures,more_arrivals,more_departures,more_arrivals
Wendstattgasse,48.14679,16.391242,0.0,1.0,2.0,7.0,0.0,1.0,5.0,6.0,equal,equal,more_arrivals,more_departures
Westbahnhof S U,48.19681,16.338577,41.0,48.0,73.0,41.0,23.0,60.0,48.0,55.0,more_departures,more_arrivals,more_departures,more_arrivals
Westbahnhof S U / Felberstraße,48.197958,16.3377,20.0,13.0,35.0,23.0,12.0,45.0,34.0,31.0,more_departures,more_arrivals,more_departures,more_arrivals
Westbahnhof S U / Gerstnerstraße,48.195315,16.337344,10.0,26.0,15.0,5.0,27.0,18.0,19.0,15.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Westbahnstraße / Schottenfeldgasse,48.201942,16.343241,21.0,25.0,44.0,26.0,20.0,20.0,44.0,38.0,more_departures,more_departures,equal,more_arrivals
Wieningerplatz,48.194063,16.31846,10.0,16.0,12.0,8.0,3.0,11.0,15.0,16.0,more_departures,more_departures,more_arrivals,more_arrivals
Währinger Park,48.232184,16.346819,2.0,1.0,4.0,3.0,0.0,3.0,8.0,3.0,more_departures,more_arrivals,more_arrivals,equal
Währinger Straße U,48.225482,16.349795,11.0,22.0,35.0,25.0,28.0,10.0,19.0,31.0,more_arrivals,more_departures,more_departures,more_arrivals
Yppengasse,48.214561,16.335624,32.0,43.0,38.0,25.0,6.0,48.0,74.0,33.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Zentralfriedhof 2. Tor,48.154665,16.442269,0.0,2.0,12.0,4.0,0.0,2.0,6.0,9.0,equal,equal,more_departures,more_arrivals
Zieglergasse U,48.196724,16.343985,32.0,55.0,93.0,58.0,28.0,68.0,82.0,42.0,more_departures,more_arrivals,more_departures,more_departures
Zippererstraße U,48.17915,16.411219,1.0,1.0,4.0,8.0,1.0,4.0,3.0,5.0,equal,more_arrivals,more_departures,more_departures
eLastenräder - Am Tabor,48.224598,16.39209,16.0,15.0,5.0,6.0,2.0,2.0,23.0,13.0,more_departures,more_departures,more_arrivals,more_arrivals
eLastenräder - Am langen Felde,48.250224,16.45065,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,equal,more_arrivals,more_departures,equal
eLastenräder - Bruno-Marek-Allee,48.227914,16.391516,18.0,9.0,12.0,8.0,0.0,8.0,19.0,19.0,more_departures,more_departures,more_arrivals,more_arrivals
eLastenräder- Modecenterstraße / The Marks,48.184929,16.413964,2.0,5.0,5.0,4.0,2.0,1.0,3.0,4.0,equal,more_departures,more_departures,equal
