station,lat,lon,dep_morning,dep_midday,dep_evening,dep_night,arr_morning,arr_midday,arr_evening,arr_night,status_morning,status_midday,status_evening,status_night
Carl-Appel-Straße,48.169012,16.343611,4.0,20.0,18.0,9.0,1.0,24.0,6.0,13.0,more_departures,more_arrivals,more_departures,more_arrivals
Ceija-Stojka-Platz,48.207702,16.342199,12.0,18.0,14.0,23.0,8.0,12.0,27.0,27.0,more_departures,more_departures,more_arrivals,more_arrivals
Donauspital U,48.219878,16.464588,0.0,1.0,11.0,5.0,4.0,5.0,2.0,16.0,more_arrivals,more_arrivals,more_departures,more_arrivals
Dornerplatz,48.221223,16.33459,21.0,16.0,5.0,12.0,1.0,4.0,9.0,51.0,more_departures,more_departures,more_arrivals,more_arrivals
Dresdner Straße U,48.237487,16.380363,18.0,13.0,26.0,12.0,7.0,9.0,17.0,28.0,more_departures,more_departures,more_departures,more_arrivals
Dänenstraße / BOKU,48.23737,16.33448,23.0,32.0,47.0,11.0,22.0,8.0,11.0,32.0,more_departures,more_departures,more_departures,more_arrivals
Edelsinnstraße,48.170578,16.310926,1.0,6.0,4.0,3.0,2.0,5.0,1.0,8.0,more_arrivals,more_departures,more_departures,more_arrivals
Elterleinplatz,48.217936,16.332271,14.0,13.0,23.0,18.0,8.0,12.0,16.0,23.0,more_departures,more_departures,more_departures,more_arrivals
Enkplatz U,48.17625,16.41326,3.0,19.0,5.0,8.0,1.0,5.0,10.0,12.0,more_departures,more_departures,more_arrivals,more_arrivals
Erdberg U,48.190465,16.415318,10.0,21.0,29.0,23.0,20.0,13.0,20.0,14.0,more_arrivals,more_departures,more_departures,more_departures
Erlaaer Straße U,48.142919,16.316576,0.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,equal,more_departures,equal,more_arrivals
Erzherzog-Karl-Straße S,48.229619,16.45357,6.0,18.0,7.0,7.0,4.0,3.0,12.0,17.0,more_departures,more_departures,more_arrivals,more_arrivals
Eslarngasse / Juchgasse,48.196678,16.395204,28.0,15.0,20.0,11.0,6.0,9.0,35.0,32.0,more_departures,more_departures,more_arrivals,more_arrivals
Etrichstraße,48.14826,16.462393,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,equal,equal,equal,more_departures
FH Technikum,48.23937,16.377182,3.0,5.0,11.0,8.0,18.0,2.0,2.0,19.0,more_arrivals,more_departures,more_departures,more_arrivals
Floridsdorf S U,48.255621,16.400137,12.0,23.0,73.0,34.0,22.0,30.0,40.0,46.0,more_arrivals,more_arrivals,more_departures,more_arrivals
Floridsdorfer Markt,48.263052,16.399257,0.0,2.0,7.0,6.0,6.0,0.0,4.0,6.0,more_arrivals,more_departures,more_departures,equal
Frankhplatz,48.215164,16.355172,17.0,31.0,31.0,20.0,41.0,36.0,27.0,27.0,more_arrivals,more_arrivals,more_departures,more_arrivals
Franz-Josef Bahnhof S,48.225991,16.360327,34.0,26.0,16.0,19.0,11.0,27.0,31.0,23.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Friedensbrücke U,48.226825,16.365311,21.0,26.0,41.0,49.0,12.0,32.0,48.0,61.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Friedrich-Engels-Platz,48.244111,16.379304,10.0,27.0,22.0,16.0,3.0,26.0,32.0,35.0,more_departures,more_departures,more_arrivals,more_arrivals
Fröbelgasse,48.205827,16.330869,33.0,30.0,16.0,5.0,5.0,14.0,34.0,29.0,more_departures,more_departures,more_arrivals,more_arrivals
Fultonstraße,48.252916,16.413875,18.0,10.0,11.0,10.0,1.0,12.0,14.0,25.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Gasometer U,48.185253,16.417358,31.0,20.0,22.0,22.0,13.0,22.0,36.0,31.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Gatterhölzl,48.175409,16.320534,3.0,6.0,4.0,2.0,0.0,3.0,5.0,3.0,more_departures,more_departures,more_arrivals,more_arrivals
Geiselbergstraße S,48.174951,16.406785,2.0,13.0,15.0,12.0,5.0,9.0,10.0,9.0,more_arrivals,more_departures,more_departures,more_departures
Gersthof S,48.231029,16.329505,9.0,15.0,17.0,10.0,1.0,25.0,17.0,9.0,more_departures,more_arrivals,equal,more_departures
Gewerbepark Stadlau,48.245575,16.462515,0.0,9.0,3.0,3.0,2.0,11.0,10.0,1.0,more_arrivals,more_arrivals,more_arrivals,more_departures
Grimmgasse,48.186805,16.327679,6.0,13.0,16.0,16.0,2.0,6.0,18.0,16.0,more_departures,more_departures,more_arrivals,equal
Grinzing,48.255793,16.342947,9.0,14.0,4.0,0.0,6.0,5.0,2.0,12.0,more_departures,more_departures,more_departures,more_arrivals
Großfeldsiedlung U,48.271948,16.447562,2.0,8.0,5.0,6.0,3.0,3.0,15.0,16.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Gumpendorfer Gürtel,48.18934,16.338321,10.0,24.0,23.0,12.0,16.0,7.0,27.0,28.0,more_arrivals,more_departures,more_arrivals,more_arrivals
Gutheil-Schoder-Gasse / Badner Bahn,48.158662,16.334796,0.0,0.0,4.0,3.0,3.0,2.0,4.0,1.0,more_arrivals,more_arrivals,equal,more_departures
Gußhausstraße / Argentinierstraße,48.197287,16.371572,12.0,52.0,61.0,39.0,43.0,57.0,55.0,12.0,more_arrivals,more_arrivals,more_departures,more_departures
Gymnasiumstraße,48.236591,16.348719,16.0,23.0,26.0,2.0,20.0,13.0,10.0,23.0,more_arrivals,more_departures,more_departures,more_arrivals
Hafen Wien,48.183217,16.458423,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,equal,more_departures,equal,equal
Handelskai S U,48.24201,16.384797,35.0,27.0,68.0,39.0,12.0,34.0,82.0,56.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Hans-Mandl-Berufsschule,48.181161,16.338769,9.0,9.0,8.0,4.0,3.0,5.0,14.0,13.0,more_departures,more_departures,more_arrivals,more_arrivals
Hans-Steger-Gasse,48.224465,16.456828,3.0,4.0,2.0,1.0,0.0,1.0,8.0,2.0,more_departures,more_departures,more_arrivals,more_arrivals
Hanusch Krankenhaus,48.19853,16.29393,12.0,16.0,8.0,6.0,4.0,10.0,16.0,20.0,more_departures,more_departures,more_arrivals,more_arrivals
Hartmanngasse ,48.187123,16.363965,18.0,26.0,28.0,13.0,17.0,9.0,22.0,32.0,more_departures,more_departures,more_departures,more_arrivals
Hasnerstraße / Hofferplatz,48.208195,16.332566,14.0,12.0,14.0,18.0,9.0,18.0,21.0,15.0,more_departures,more_arrivals,more_arrivals,more_departures
Hauptbahnhof Ost,48.183836,16.379774,31.0,28.0,44.0,23.0,15.0,30.0,60.0,27.0,more_departures,more_arrivals,more_arrivals,more_arrivals
Hauptbahnhof S U ,48.186287,16.375631,100.0,85.0,139.0,94.0,110.0,84.0,84.0,111.0,more_arrivals,more_departures,more_departures,more_arrivals
Hausfeldstraße S U,48.233624,16.486825,0.0,4.0,10.0,7.0,0.0,8.0,1.0,5.0,equal,more_arrivals,more_departures,more_departures
Heiligenstadt S U,48.248272,16.36813,5.0,29.0,19.0,22.0,24.0,15.0,18.0,18.0,more_arrivals,more_departures,more_departures,more_departures
Hermesstraße / Oscar-Straus-Park ,48.167976,16.282246,2.0,11.0,3.0,1.0,3.0,3.0,3.0,4.0,more_arrivals,more_departures,equal,more_arrivals
