station,degree_centrality,lat,lon,trips_started,trips_ended,trips
Radetzkyplatz,0.46640316205533594,48.210682,16.390221,164,163,327
Richard-Wagner-Platz,0.3162055335968379,48.210054,16.328049,69,75,144
Rosensteingasse / Blumengasse,0.16205533596837943,48.222824,16.328474,49,37,86
Schloss Schönbrunn,0.3952569169960474,48.187201,16.312659,147,139,286
Schottentor U,0.7628458498023715,48.214558,16.361492,336,324,660
Schuhmeierplatz,0.21739130434782608,48.21069,16.318802,64,52,116
Schwedenplatz,0.7509881422924901,48.211721,16.376628,276,283,559
Siebenbrunnenfeldgasse,0.17391304347826086,48.18142,16.352644,37,36,73
Siebensternplatz,0.5454545454545454,48.202223,16.352486,127,124,251
Speising S,0.06324110671936758,48.17377,16.282425,11,13,24
Strozzigasse,0.6600790513833992,48.207744,16.349122,281,276,557
Taborstraße U,0.47826086956521735,48.219522,16.382218,120,145,265
Universitätsring,0.541501976284585,48.21192,16.360781,143,146,289
Volksgarten,0.5573122529644269,48.206516,16.3604,167,181,348
Volkstheater U,0.40316205533596833,48.205994,16.356442,108,107,215
Wattgasse,0.22134387351778656,48.217837,16.319961,60,56,116
Westbahnhof S U / Gerstnerstraße,0.23320158102766797,48.195315,16.337344,56,79,135
Währinger Park,0.05928853754940711,48.232184,16.346819,10,14,24
Yppengasse,0.4229249011857707,48.214561,16.335624,138,161,299
Zieglergasse U,0.6284584980237153,48.196724,16.343985,238,220,458
Alserbachstraße,0.3557312252964427,48.225138,16.354893,77,81,158
Bischof-Faber-Platz,0.03952569169960474,48.233868,16.325099,7,10,17
Brünnlbadgasse,0.4861660079051383,48.215262,16.346523,124,122,246
Burggasse-Stadthalle U,0.40316205533596833,48.203657,16.337419,109,100,209
Ceija-Stojka-Platz,0.32806324110671936,48.207702,16.342199,67,74,141
Elterleinplatz,0.225296442687747,48.217936,16.332271,68,59,127
Eslarngasse / Juchgasse,0.3162055335968379,48.196678,16.395204,74,82,156
Frankhplatz,0.4387351778656126,48.215164,16.355172,99,131,230
Friedensbrücke U,0.49407114624505927,48.226825,16.365311,137,153,290
Gersthof S,0.21739130434782608,48.231029,16.329505,51,52,103
Gumpendorfer Gürtel,0.2964426877470355,48.18934,16.338321,69,78,147
Hernals S,0.24110671936758893,48.22321,16.315256,79,56,135
Johann-Nepomuk-Vogl-Platz,0.20158102766798416,48.223756,16.337543,40,40,80
Josefstädter Straße U,0.46640316205533594,48.212106,16.33912,155,156,311
Kutschkergasse,0.1818181818181818,48.225707,16.344196,36,28,64
Kärntner Ring,0.37549407114624506,48.202161,16.3713,113,103,216
Michelbeuern-AKH U,0.26877470355731226,48.221804,16.343735,84,85,169
Nussdorfer Straße U,0.22134387351778656,48.231717,16.353124,41,40,81
Palffygasse,0.2924901185770751,48.217217,16.337131,60,90,150
Parhamerplatz,0.24901185770750986,48.216137,16.328093,67,76,143
