,station,degree_centrality,lat,lon,trips_started,trips_ended,trips,connections_total,connections_out,connections_in
71,Brückengasse,0.4268774703557312,48.19126,16.347918,121,113,234,108,58,50
72,Dornerplatz,0.1897233201581027,48.221223,16.33459,54,65,119,48,28,20
73,Franz-Josef Bahnhof S,0.3596837944664031,48.225991,16.360327,95,92,187,91,36,55
74,Hans-Mandl-Berufsschule,0.1620553359683794,48.181161,16.338769,30,35,65,41,17,24
75,Hasnerstraße / Hofferplatz,0.2371541501976284,48.208195,16.332566,58,63,121,60,26,34
76,Heiligenstadt S U,0.3241106719367588,48.248272,16.36813,75,75,150,82,37,45
77,Heumühlgasse,0.5968379446640316,48.195304,16.363308,200,197,397,151,67,84
78,Hoher Markt,0.4901185770750987,48.210666,16.372983,158,132,290,124,62,62
79,Julius-Raab-Platz,0.5731225296442687,48.211544,16.382374,214,198,412,145,74,71
80,Kendlerstraße U,0.2371541501976284,48.205571,16.30959,75,59,134,60,37,23
81,Landstraße - Wien Mitte S U,0.7193675889328063,48.205847,16.385246,271,283,554,182,87,95
82,Markgraf-Rüdiger Straße,0.3833992094861659,48.202473,16.329897,115,119,234,97,54,43
83,Nussdorf S,0.1541501976284585,48.259495,16.367553,28,32,60,39,17,22
84,Oper,0.7786561264822134,48.202683,16.369702,308,336,644,197,90,107
85,Ottakring S U,0.2687747035573122,48.211841,16.311806,97,70,167,68,38,30
86,Plunkergasse,0.2806324110671936,48.199892,16.327151,79,82,161,71,45,26
87,Radetzkyplatz,0.4664031620553359,48.210682,16.390221,164,163,327,118,56,62
88,Richard-Wagner-Platz,0.3162055335968379,48.210054,16.328049,69,75,144,80,44,36
89,Rosensteingasse / Blumengasse,0.1620553359683794,48.222824,16.328474,49,37,86,41,27,14
90,Schloss Schönbrunn,0.3952569169960474,48.187201,16.312659,147,139,286,100,43,57
91,Schottentor U,0.7628458498023715,48.214558,16.361492,336,324,660,193,96,97
92,Schuhmeierplatz,0.217391304347826,48.21069,16.318802,64,52,116,55,37,18
93,Schwedenplatz,0.7509881422924901,48.211721,16.376628,276,283,559,190,90,100
94,Siebenbrunnenfeldgasse,0.1739130434782608,48.18142,16.352644,37,36,73,44,21,23
95,Siebensternplatz,0.5454545454545454,48.202223,16.352486,127,124,251,138,67,71
96,Speising S,0.0632411067193675,48.17377,16.282425,11,13,24,16,6,10
97,Strozzigasse,0.6600790513833992,48.207744,16.349122,281,276,557,167,83,84
98,Taborstraße U,0.4782608695652173,48.219522,16.382218,120,145,265,121,54,67
99,Universitätsring,0.541501976284585,48.21192,16.360781,143,146,289,137,68,69
100,Volksgarten,0.5573122529644269,48.206516,16.3604,167,181,348,141,64,77
101,Volkstheater U,0.4031620553359683,48.205994,16.356442,108,107,215,102,55,47
102,Wattgasse,0.2213438735177865,48.217837,16.319961,60,56,116,56,35,21
103,Westbahnhof S U / Gerstnerstraße,0.2332015810276679,48.195315,16.337344,56,79,135,59,28,31
104,Währinger Park,0.0592885375494071,48.232184,16.346819,10,14,24,15,7,8
105,Yppengasse,0.4229249011857707,48.214561,16.335624,138,161,299,107,55,52
106,Zieglergasse U,0.6284584980237153,48.196724,16.343985,238,220,458,159,82,77
107,Alserbachstraße,0.3557312252964427,48.225138,16.354893,77,81,158,90,45,45
108,Bischof-Faber-Platz,0.0395256916996047,48.233868,16.325099,7,10,17,10,5,5
109,Brünnlbadgasse,0.4861660079051383,48.215262,16.346523,124,122,246,123,60,63
110,Burggasse-Stadthalle U,0.4031620553359683,48.203657,16.337419,109,100,209,102,57,45
111,Ceija-Stojka-Platz,0.3280632411067193,48.207702,16.342199,67,74,141,83,41,42
112,Elterleinplatz,0.225296442687747,48.217936,16.332271,68,59,127,57,33,24
113,Eslarngasse / Juchgasse,0.3162055335968379,48.196678,16.395204,74,82,156,80,37,43
114,Frankhplatz,0.4387351778656126,48.215164,16.355172,99,131,230,111,51,60
